"employee_id","company_id","dept","seniority","salary","join_date","quit_date"
13021,7,"customer_service",28,89000,2014-03-24,2015-10-30
5461,7,"marketing",20,183000,2013-04-29,2014-04-04
21162,4,"marketing",14,101000,2014-10-13,NA
22093,7,"customer_service",20,115000,2012-05-14,2013-06-07
13586,2,"data_science",23,276000,2011-10-17,2014-08-22
24074,4,"data_science",14,165000,2012-01-30,2013-08-30
24406,4,"customer_service",21,107000,2013-10-21,NA
13450,2,"customer_service",4,30000,2014-03-05,NA
23868,9,"engineer",7,160000,2012-12-10,2015-10-23
7411,1,"sales",7,104000,2012-06-12,NA
6158,6,"customer_service",13,72000,2012-11-12,2015-02-27
23583,2,"marketing",17,230000,2015-05-11,NA
23045,1,"marketing",1,48000,2012-12-10,2013-11-15
14125,10,"marketing",23,154000,2012-06-18,2015-09-25
18568,2,"sales",20,201000,2013-09-16,2014-08-22
14821,1,"data_science",4,80000,2014-05-27,2015-07-10
18432,7,"marketing",10,88000,2011-11-30,2013-11-22
19066,7,"customer_service",6,54000,2014-03-31,NA
8756,2,"marketing",20,193000,2014-12-29,NA
4951,1,"customer_service",14,76000,2015-07-27,NA
17565,7,"engineer",19,231000,2015-10-19,NA
16029,6,"customer_service",15,98000,2012-06-25,2013-05-31
15941,5,"data_science",14,144000,2011-11-28,2015-07-06
22132,3,"marketing",14,97000,2013-08-20,2014-08-15
18008,2,"marketing",6,151000,2013-07-29,2014-08-01
9068,3,"customer_service",15,110000,2011-05-31,2013-02-08
5347,4,"data_science",26,230000,2013-08-26,NA
21780,3,"data_science",27,223000,2011-03-21,2012-03-02
12576,1,"customer_service",5,75000,2011-08-01,2013-10-04
17262,5,"customer_service",6,71000,2011-02-14,2014-04-11
6664,1,"engineer",18,315000,2015-06-08,NA
776,1,"customer_service",23,111000,2012-07-16,2015-05-15
15657,7,"engineer",16,291000,2015-03-31,NA
19562,2,"design",20,210000,2013-05-20,NA
14851,1,"engineer",21,259000,2014-08-26,NA
9494,2,"marketing",25,207000,2013-03-11,2015-01-16
22309,7,"customer_service",19,103000,2012-10-08,2013-10-11
17099,4,"sales",14,105000,2012-06-25,2013-05-31
6365,9,"customer_service",20,108000,2015-04-13,NA
14473,2,"engineer",9,178000,2011-11-28,NA
15631,3,"customer_service",23,101000,2013-03-18,NA
12618,2,"engineer",5,192000,2014-04-21,NA
17591,5,"data_science",14,154000,2011-06-13,2012-07-27
22143,9,"customer_service",20,117000,2012-02-21,2014-01-17
23613,1,"customer_service",23,1e+05,2015-03-31,NA
6669,1,"customer_service",7,89000,2014-08-18,2015-08-13
11516,8,"data_science",26,218000,2015-03-16,NA
2860,2,"data_science",20,317000,2011-11-28,2014-11-21
8814,9,"engineer",27,192000,2015-05-04,NA
23196,7,"sales",7,1e+05,2012-07-30,2013-07-12
5221,1,"marketing",9,112000,2011-06-13,2015-05-15
19511,3,"marketing",2,39000,2012-06-25,2014-09-26
24176,10,"customer_service",29,99000,2014-07-29,2015-08-28
18190,9,"customer_service",9,70000,2012-01-09,2013-03-08
23751,1,"data_science",2,76000,2012-05-07,2015-07-24
9750,1,"sales",9,122000,2013-12-16,2015-01-30
16500,1,"engineer",13,180000,2012-06-04,NA
9075,1,"marketing",3,47000,2012-03-12,2013-04-05
23332,1,"customer_service",29,141000,2013-07-15,2014-05-02
2200,4,"marketing",5,99000,2012-02-21,2014-12-19
15594,2,"customer_service",19,109000,2012-08-27,2014-03-25
12509,1,"data_science",23,338000,2011-09-14,2013-10-18
1844,1,"customer_service",28,133000,2014-09-02,2015-09-04
8271,2,"sales",25,166000,2014-11-24,2015-10-30
13245,3,"customer_service",5,68000,2014-12-29,NA
23833,1,"customer_service",8,90000,2013-10-07,NA
22076,1,"data_science",18,3e+05,2015-03-23,NA
17983,2,"data_science",28,265000,2012-10-22,NA
7152,7,"marketing",27,158000,2012-06-25,2015-02-20
3644,3,"customer_service",22,89000,2013-06-03,2015-02-27
16540,1,"data_science",1,79000,2014-10-13,NA
4836,1,"design",29,216000,2011-03-21,2013-01-11
21987,3,"customer_service",18,90000,2012-01-23,2014-04-04
3411,1,"sales",4,57000,2013-03-13,2014-02-21
16600,8,"sales",4,39000,2011-04-18,2015-02-06
23611,3,"customer_service",8,68000,2012-10-08,2013-09-27
15650,5,"marketing",18,151000,2015-03-30,NA
7103,5,"engineer",23,275000,2011-08-02,NA
6771,7,"marketing",23,180000,2015-11-16,NA
5070,2,"marketing",15,216000,2014-12-01,NA
2184,1,"customer_service",23,126000,2014-03-10,NA
16693,9,"customer_service",13,60000,2015-07-13,NA
5231,7,"marketing",7,87000,2013-07-16,2014-06-20
19355,3,"customer_service",28,99000,2013-11-11,2015-10-09
18585,2,"engineer",28,357000,2014-07-14,NA
120,1,"marketing",24,170000,2012-02-29,2013-04-01
7618,5,"marketing",6,106000,2013-09-23,2015-07-31
24128,1,"sales",5,113000,2012-01-03,2012-10-19
22835,2,"engineer",25,314000,2012-01-30,2015-01-02
20191,1,"customer_service",22,123000,2015-07-07,NA
4773,8,"marketing",19,150000,2011-07-18,2014-08-15
22458,2,"customer_service",12,68000,2015-06-08,NA
12034,4,"engineer",22,243000,2014-12-22,NA
15260,6,"engineer",2,50000,2013-12-02,NA
8804,8,"customer_service",1,24000,2011-09-19,2012-10-26
23278,2,"data_science",23,323000,2012-02-27,2015-02-27
12579,8,"data_science",14,167000,2013-12-30,NA
13280,3,"sales",13,99000,2014-07-21,NA
1107,4,"customer_service",15,107000,2012-01-17,2014-09-26
4732,5,"customer_service",10,66000,2013-07-01,2014-06-27
24317,7,"customer_service",8,61000,2014-02-25,NA
